Source,file_path,Missing Info
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/secportal-acc/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/courier-communication-business-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/frontline-data-feature-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/limit-range/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/delivery-document-relay-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/argocd-ingress/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-force-switch-mfe/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/delivery-payment-consumer-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/nfa-components-react/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-service-bkp/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/search-api-indexer/templates/deployment-hpa.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/search-api-indexer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/keda/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/delivery-time-window-relay-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/prometheus-federation-server/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/prometheus-federation-server/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/security-portal-frontend/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/security-portal-frontend/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/identity-metadata-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/templates/deployment-vendor.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/templates/hpa-deployment-multivendor.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/templates/hpa-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/templates/hpa-deployment-vendor.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/product-assortment-consumer/templates/deployment-multivendor.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-social-myaccount-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/enforcement-service/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/reconciliation-service/templates/api-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/reconciliation-service/templates/job-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/reconciliation-service/templates/consumer-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/notifications-bulk-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-force-vendor-groups-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/price-relay-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/admin-portal-data-ingestion-beta-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grow-missions-service/templates/deployment-api.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/sre-java-hw2/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/sre-java-hw2/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-ai-chatbot-service/templates/release-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-ai-chatbot-service/templates/canary-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/revman-algo-tasking-service/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/revman-algo-tasking-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/browse-proxy/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-force-variablecompensation-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grow-portal-main-mfe/templates/deployment.yaml,Missing deployment structure
